Station number,Station name,Address,City,Province,Latitude,Longitude,Local land use,Station type,Concentration,Units,Station details,Report year
10102,Water Street Post Office,354 Water Street,St. John's,Newfoundland and Labrador,47.56038,-52.71147,Residential,General population exposure,34,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0210102&GoCTemplateCulture=en-CA
",2016
10301,Credit Union,Brook Street,Corner Brook,Newfoundland and Labrador,48.949479,-57.945387,Industrial,General population exposure,-,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0210301&GoCTemplateCulture=en-CA
",2016
10401,Mount Pearl,Old Placentia Road,Mount Pearl,Newfoundland and Labrador,47.50513,-52.79476,Residential,General population exposure,32,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0210401&GoCTemplateCulture=en-CA
",2016
10501,Abitibi Site,Scott Avenue,Grand Falls - Windsor,Newfoundland and Labrador,48.92696,-55.65966,Industrial,General population exposure,33,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0210501&GoCTemplateCulture=en-CA
",2016
10601,Goose Bay,Abbot Street,Happy Valley - Goose Bay,Newfoundland and Labrador,53.31111,-60.36667,Industrial,General population exposure,33,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0210601&GoCTemplateCulture=en-CA
",2016
10602,Macpherson Avenue,Macpherson Ave,Corner Brook,Newfoundland and Labrador,48.95224,-57.92207,Residential,General population exposure,32,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0210602&GoCTemplateCulture=en-CA
",2016
10701,Ferrole Point,Ferrole Point Lighthouse,Ferrole Point,Newfoundland and Labrador,51.021995,-57.095567,Forested,Regional background,-,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0210701&GoCTemplateCulture=en-CA
",2016
10801,Port au Choix,Port au Choix (Town Hall),Port Aux Choix,Newfoundland and Labrador,50.7123,-57.36421,Forested,Regional background,-,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0210801&GoCTemplateCulture=en-CA
",2016
11001,Labrador City - Smokey Mountain,,Labrador City,Newfoundland and Labrador,52.9518,-66.9156,Commercial,Point source influenced,-,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0211001&GoCTemplateCulture=en-CA
",2016
20104,Charlottetown 2,3 Brighton Road,Charlottetown,Prince Edward Island,46.233,-63.13667,Residential,Transportation source influenced,-,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0220104&GoCTemplateCulture=en-CA
",2016
20401,Southampton,2580 Route 313 (Cardigan Road),Southampton,Prince Edward Island,46.38635,-62.58272,Agricultural,Regional background,-,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0220401&GoCTemplateCulture=en-CA
",2016
30118,Vogue Building,1649 Barrington Street,Halifax,Nova Scotia,44.646425,-63.573383,Residential,General population exposure,25,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0230118&GoCTemplateCulture=en-CA
",2016
30120,Lake Major,341 Cherrybrook Road,Halifax,Nova Scotia,44.719799,-63.480754,Forested,General population exposure,33,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0230120&GoCTemplateCulture=en-CA
",2016
30201,Port Hawkesbury,23 Embree Street,Port Hawkesbury,Nova Scotia,45.6141612,-61.3623563,Residential,General population exposure,33,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0230201&GoCTemplateCulture=en-CA
",2016
30302,Sydney Steel Corporation,Sydney Steel Corporation,Sydney,Nova Scotia,46.15391,-60.1845,Residential,General population exposure,-,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0230302&GoCTemplateCulture=en-CA
",2016
30310,Welton Street Sydney,71 Welton Street,Sydney,Nova Scotia,46.14222,-60.17252,Residential,General population exposure,33,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0230310&GoCTemplateCulture=en-CA
",2016
30501,Kejimkujik National Park,National Park,Kejimkujik,Nova Scotia,44.433611,-65.205833,Forested,Regional background,33,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0230501&GoCTemplateCulture=en-CA
",2016
30701,Aylesford Mountain,"1009 Mountain Brow Road, Kings County",Aylesford,Nova Scotia,45.07267,-64.84033,Forested,Regional background,36,parts per billion (ppb),"http://indicators-map.canada.ca/App/Detail?id=0230701&GoCTemplateCulture=en-CA
",2016
