,GeoUID,Shape.Area,name,Adjusted.Population..previous.Census.,PR_UID,Type,Region.Name,Area..sq.km.,Population,Dwellings,Households,LowIncome,LowIncPercent,Aboriginal,AborigPercent,VisMinority,VisMinorityPercent
1,1001,10011.39881,Division No.  1 (CDR),262410,10,CD,Division No.  1 (CDR),10011.39881,270348,131336,112620,13.3,5.0684E-05,7760,0.029572044,9130,0.034792881
2,1002,6586.33501,Division No.  2 (CDR),21351,10,CD,Division No.  2 (CDR),6586.33501,20372,11497,8737,17,0.000796216,330,0.015455951,135,0.006322889
3,1003,22335.72177,Division No.  3 (CDR),16306,10,CD,Division No.  3 (CDR),22335.72177,15560,8289,6773,19.6,0.001202012,1775,0.108855636,85,0.005212805
4,1004,7454.21714,Division No.  4 (CDR),20840,10,CD,Division No.  4 (CDR),7454.21714,20387,11338,9345,28.8,0.001381958,7975,0.382677543,130,0.006238004
5,1005,11498.15263,Division No.  5 (CDR),41004,10,CD,Division No.  5 (CDR),11498.15263,42014,20924,17890,15.6,0.000380451,9595,0.234001561,450,0.010974539
6,1006,17743.83803,Division No.  6 (CDR),37304,10,CD,Division No.  6 (CDR),17743.83803,38345,19296,16434,16.9,0.000453035,2365,0.063398027,510,0.013671456
7,1007,10652.04185,Division No.  7 (CDR),34686,10,CD,Division No.  7 (CDR),10652.04185,34092,20097,14571,17.8,0.000513175,820,0.023640662,225,0.006486767
8,1008,10118.92135,Division No.  8 (CDR),37121,10,CD,Division No.  8 (CDR),10118.92135,35794,21913,15587,22,0.000592656,1350,0.036367555,175,0.004714313
9,1009,14838.08664,Division No.  9 (CDR),16786,10,CD,Division No.  9 (CDR),14838.08664,15607,9346,6689,16.5,0.000982962,2005,0.119444775,180,0.010723222
10,1010,223204.1149,Division No. 10 (CDR),24111,10,CD,Division No. 10 (CDR),223204.1149,24639,10758,9193,7.2,0.000298619,9400,0.389863548,790,0.032765128
11,1011,72554.31268,Division No. 11 (CDR),2617,10,CD,Division No. 11 (CDR),72554.31268,2558,945,834,21.3,0.008139091,2350,0.89797478,0,0
12,1101,1737.73233,Kings (CTY),17990,11,CD,Kings (CTY),1737.73233,17160,10026,7222,17.7,0.00098388,345,0.019177321,200,0.011117287
13,1102,2120.18013,Queens (CTY),77866,11,CD,Queens (CTY),2120.18013,82017,39399,33975,16.7,0.000214471,1520,0.019520715,5635,0.072367914
14,1103,2035.38201,Prince (CTY),44348,11,CD,Prince (CTY),2035.38201,43730,21694,18275,16.8,0.000378822,870,0.01961757,810,0.018264634
15,1201,2622.20937,Shelburne (CTY),14496,12,CD,Shelburne (CTY),2622.20937,13966,7765,6378,19,0.001310706,1435,0.098992826,305,0.021040287
16,1202,2343.35288,Yarmouth (CTY),25275,12,CD,Yarmouth (CTY),2343.35288,24419,12342,10798,19.8,0.000783383,4585,0.18140455,780,0.030860534
17,1203,2688.85767,Digby (CTY),18036,12,CD,Digby (CTY),2688.85767,17323,9927,8043,22.6,0.001253049,2010,0.111443779,500,0.027722333
18,1204,2770.18326,Queens (CTY),10960,12,CD,Queens (CTY),2770.18326,10351,6608,4764,24.5,0.002235401,880,0.080291971,200,0.018248175
19,1205,3429.05882,Annapolis (CTY),20756,12,CD,Annapolis (CTY),3429.05882,20591,11391,9377,25.3,0.001218925,1065,0.051310464,340,0.016380806
20,1206,3115.22127,Lunenburg (CTY),47313,12,CD,Lunenburg (CTY),3115.22127,47126,26648,21439,18.8,0.000397354,1605,0.033923023,665,0.014055334
21,1207,2210.26812,Kings (CTY),60589,12,CD,Kings (CTY),2210.26812,60600,29187,25951,18.5,0.000305336,2605,0.042994603,1900,0.031358828
22,1208,3173.20841,Hants (CTY),42304,12,CD,Hants (CTY),3173.20841,42558,19202,17439,15.5,0.000366396,2545,0.060159796,1070,0.025293116
23,1209,5963.13705,Halifax (CTY),390328,12,CD,Halifax (CTY),5963.13705,403390,187478,173459,14.8,3.79168E-05,15815,0.040517206,45290,0.11603062
24,1210,3666.56495,Colchester (CTY),50968,12,CD,Colchester (CTY),3666.56495,50585,25378,22229,18.9,0.000370821,2585,0.050718098,1690,0.03315806
25,1211,4327.68663,Cumberland (CTY),31353,12,CD,Cumberland (CTY),4327.68663,30005,18445,13614,22.8,0.000727203,895,0.028545913,790,0.025196951
26,1212,2902.68709,Pictou (CTY),45643,12,CD,Pictou (CTY),2902.68709,43748,22525,19305,18.8,0.000411892,1610,0.035273755,1220,0.026729181
27,1213,4242.06228,Guysborough (CTY),8143,12,CD,Guysborough (CTY),4242.06228,7625,5190,3549,21.9,0.002689427,460,0.056490237,265,0.032543289
28,1214,1470.41197,Antigonish (CTY),19589,12,CD,Antigonish (CTY),1470.41197,19301,9842,8129,14.1,0.000719792,1650,0.084230946,860,0.04390219
29,1215,3921.68076,Inverness (CTY),17947,12,CD,Inverness (CTY),3921.68076,17235,9876,7351,16.3,0.00090823,1575,0.0877584,210,0.01170112
30,1216,1306.02277,Richmond (CTY),9293,12,CD,Richmond (CTY),1306.02277,8964,5122,3983,18.2,0.001958463,1775,0.191003981,95,0.010222748
31,1217,2596.00633,Cape Breton (CTY),101619,12,CD,Cape Breton (CTY),2596.00633,98722,47205,43081,19.7,0.000193861,7675,0.075527214,2415,0.023765241
32,1218,2894.61801,Victoria (CTY),7115,12,CD,Victoria (CTY),2894.61801,7089,4437,3101,14.2,0.001995784,725,0.1018974,65,0.009135629
33,1301,1561.43262,Saint John (CT),76550,13,CD,Saint John (CT),1561.43262,74020,36825,32852,21.8,0.000284781,1605,0.020966688,4610,0.060222077
34,1302,3537.4947,Charlotte (CT),26549,13,CD,Charlotte (CT),3537.4947,25428,13513,11132,19.5,0.000734491,525,0.019774756,525,0.019774756
35,1303,2751.43489,Sunbury (CT),27143,13,CD,Sunbury (CT),2751.43489,27644,11853,10898,9.5,0.000349998,1440,0.053052352,615,0.022657775
36,1304,3987.78702,Queens (CT),11086,13,CD,Queens (CT),3987.78702,10472,7289,4877,23.3,0.00210175,190,0.017138734,155,0.013981598
37,1305,3681.18677,Kings (CT),69665,13,CD,Kings (CT),3681.18677,68941,29570,27027,12,0.000172253,905,0.012990741,1420,0.020383263
38,1306,1842.47549,Albert (CT),28846,13,CD,Albert (CT),1842.47549,29158,13111,12219,12.3,0.000426402,555,0.019240103,640,0.022186785
39,1307,3730.88498,Westmorland (CT),144158,13,CD,Westmorland (CT),3730.88498,149623,71839,64038,15.8,0.000109602,3605,0.025007284,7140,0.049528989
40,1308,4624.65296,Kent (CT),30833,13,CD,Kent (CT),4624.65296,30475,16251,13236,16.8,0.000544871,3955,0.128271657,290,0.009405507
41,1309,13040.19468,Northumberland (CT),46204,13,CD,Northumberland (CT),13040.19468,44952,21792,19362,18.3,0.00039607,3625,0.078456411,410,0.008873691
