Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
10001,Division Alma,Produits forestiers Résolu,Alma, 1100 Melanion Street,G8B5W2,Quebec,48.565,-71.65556,93.66,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Mechanical Pulp Mills,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=322111,https://climate-change.canada.ca/facility-emissions/GHGRP-G10001-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0110001&GoCTemplateCulture=en-CA
"
10002,Aciérie - ArcelorMittal Contrecoeur,ArcelorMittal Produits Longs Canada s.e.n.c,Contrecoeur,0 3900 Route des Aciéries,J0L1C0,Quebec,45.82055,-73.26362,185.55,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Iron & Steel Mills & Ferro-Alloy Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=331110,https://climate-change.canada.ca/facility-emissions/GHGRP-G10002-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0110002&GoCTemplateCulture=en-CA
"
10003,"Foothills Pipeline, Alberta",Foothills Pipe Lines Ltd.,Airdrie,,T4A2G7,Alberta,0,0,288.95,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Pipeline Transportation of Natural Gas,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=486210,https://climate-change.canada.ca/facility-emissions/GHGRP-G10003-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0110003&GoCTemplateCulture=en-CA
"
10004,Kingston CoGen,Kingston CoGen Limited Partnership,Bath, 5146 Taylor-Kidd Boulevard,K0H1G0,Ontario,44.2095,-76.7246,22.01,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Fossil-Fuel Electric Power Generation,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=221112,https://climate-change.canada.ca/facility-emissions/GHGRP-G10004-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0110004&GoCTemplateCulture=en-CA
"
10006,Redwater Fertilizer Operations,Agrium Inc.,Sturgeon County, 56225 SH643,T0A2W0,Alberta,53.842,-113.093,1 303.16,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Chemical Fertilizer (except Potash) Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=325313,https://climate-change.canada.ca/facility-emissions/GHGRP-G10006-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0110006&GoCTemplateCulture=en-CA
"
10007,Alberta Envirofuels,Keyera Corp,Edmonton, 9511 17th Street,T6P1Y3,Alberta,53.53199,-113.36492,309.53,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Other Basic Organic Chemical Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=325190,https://climate-change.canada.ca/facility-emissions/GHGRP-G10007-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0110007&GoCTemplateCulture=en-CA
"
10008,Alliance Pipeline Ltd. - AB Pipeline System,Alliance Pipeline Ltd.,Calgary,800 605 5th Avenue Southwest,T2P3H5,Alberta,0,0,563.5,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Pipeline Transportation of Natural Gas,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=486210,https://climate-change.canada.ca/facility-emissions/GHGRP-G10008-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0110008&GoCTemplateCulture=en-CA
"
10009,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,County of Athabasca,,T0A0M0,Alberta,54.92312,-112.86186,119.25,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Chemical Pulp Mills,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=322112,https://climate-change.canada.ca/facility-emissions/GHGRP-G10009-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0110009&GoCTemplateCulture=en-CA
"
10010,Rio Tinto Alcan Inc.,Rio Tinto Alcan Inc,Kitimat, 1 Smeltersite Road,V8C 2H2,British Columbia,54.00286,-128.69531,862.36,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Primary Production of Alumina & Aluminum,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=331313,https://climate-change.canada.ca/facility-emissions/GHGRP-G10010-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0110010&GoCTemplateCulture=en-CA
"
10011,Essar Steel Algoma Inc,Essar Steel Algoma Inc.,Sault Ste. Marie, 105 West Street North,P6A7B4,Ontario,46.5217,-84.3637,2 559.37,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2017,Iron & Steel Mills & Ferro-Alloy Mfg.,http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=307532&CVD=307548&CST=01012017&CLV=5&MLV=5&CPV=331110,https://climate-change.canada.ca/facility-emissions/GHGRP-G10011-2017.html ,"http://indicators-map.canada.ca/App/Detail?id=0110011&GoCTemplateCulture=en-CA
"
