Site number,Site name,Province,Latitude,Longitude,Drainage region ID,Land use category,Tested substances,Core site?,Sampling period,Category,Report year,Site link,Site details
00BR01AD0054,"Madawaska River above Fraser Dam, Edmundston",New Brunswick,47.365192,-68.32445,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AD0054&GoCTemplateCulture=en-CA
"
00BR01AF0080,Saint John River near Limestone above Bridge off Rte 105,New Brunswick,46.927853,-67.6988,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AF0080&GoCTemplateCulture=en-CA
"
00BR01AF0084,"Saint John River below St. Basile, Rte 144",New Brunswick,47.354916,-68.23177,23,Populated and Agriculture,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",1,2015-2017,Fair,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AF0084&GoCTemplateCulture=en-CA
"
00BR01AF0085,"Saint John River above Grand Falls Dam, Grand Falls",New Brunswick,47.04939,-67.743164,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Fair,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AF0085&GoCTemplateCulture=en-CA
"
00BR01AG0008,Aroostook River near mouth above Train Bridge,New Brunswick,46.812943,-67.7208,23,Low Agriculture,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",1,2015-2017,Fair,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AG0008&GoCTemplateCulture=en-CA
"
00BR01AH0008,"Tobique River above Riley Brook Bridge, Rte 385",New Brunswick,47.175873,-67.205795,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Excellent,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AH0008&GoCTemplateCulture=en-CA
"
00BR01AH0019,"Tobique River below Arthurette Bridge, Rte 109",New Brunswick,46.783,-67.511,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",1,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AH0019&GoCTemplateCulture=en-CA
"
00BR01AJ0067,"Big Presque Isle Stream above Bridge, Rte 103",New Brunswick,46.399803,-67.61064,23,Medium Agriculture,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",1,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AJ0067&GoCTemplateCulture=en-CA
"
00BR01AJ0079,"Saint John River below Hartland, Rte 105",New Brunswick,46.279167,-67.50278,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AJ0079&GoCTemplateCulture=en-CA
"
00BR01AJ0080,"Saint John River below Florenceville, Rte 105",New Brunswick,46.406082,-67.60597,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AJ0080&GoCTemplateCulture=en-CA
"
00BR01AK0045,"Keswick River above Bridge, Rte 105",New Brunswick,45.99443,-66.83637,23,Remote,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Good,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AK0045&GoCTemplateCulture=en-CA
"
00BR01AK0155,"Saint John River Lower Lincoln, Rte 102",New Brunswick,45.869305,-66.50769,23,Populated,"Ammonia, Arsenic, Chloride, Copper, Iron, Nitrogen, Oxygen, pH, Phosphorus, Turbidity, Zinc",0,2015-2017,Fair,2019,http://www.gnb.ca/0009/0371/0013/index-e.asp,"http://indicators-map.canada.ca/App/Detail?id=0600BR01AK0155&GoCTemplateCulture=en-CA
"
