,CDUID,Shape.Area,name,Adjusted.Population..previous.Census.,Type,Region.Name,Area..sq.km.,Population,Dwellings,Households,v_CA16_2201..Total...Income.statistics.in.2015.for.the.population.aged.15.years.and.over.in.private.households...100..data
1,1001,10011.39881,Division No.  1 (CDR),262410,CD,Division No.  1 (CDR),10011.39881,270348,131336,112620,226165
2,1002,6586.33501,Division No.  2 (CDR),21351,CD,Division No.  2 (CDR),6586.33501,20372,11497,8737,17585
3,1003,22335.72177,Division No.  3 (CDR),16306,CD,Division No.  3 (CDR),22335.72177,15560,8289,6773,13620
4,1004,7454.21714,Division No.  4 (CDR),20840,CD,Division No.  4 (CDR),7454.21714,20387,11338,9345,17440
5,1005,11498.15263,Division No.  5 (CDR),41004,CD,Division No.  5 (CDR),11498.15263,42014,20924,17890,35565
6,1006,17743.83803,Division No.  6 (CDR),37304,CD,Division No.  6 (CDR),17743.83803,38345,19296,16434,32130
7,1007,10652.04185,Division No.  7 (CDR),34686,CD,Division No.  7 (CDR),10652.04185,34092,20097,14571,29205
8,1008,10118.92135,Division No.  8 (CDR),37121,CD,Division No.  8 (CDR),10118.92135,35794,21913,15587,31090
9,1009,14838.08664,Division No.  9 (CDR),16786,CD,Division No.  9 (CDR),14838.08664,15607,9346,6689,13585
10,1010,223204.1149,Division No. 10 (CDR),24111,CD,Division No. 10 (CDR),223204.1149,24639,10758,9193,19565
11,1011,72554.31268,Division No. 11 (CDR),2617,CD,Division No. 11 (CDR),72554.31268,2558,945,834,1995
12,1101,1737.73233,Kings (CTY),17990,CD,Kings (CTY),1737.73233,17160,10026,7222,14195
13,1102,2120.18013,Queens (CTY),77866,CD,Queens (CTY),2120.18013,82017,39399,33975,66810
14,1103,2035.38201,Prince (CTY),44348,CD,Prince (CTY),2035.38201,43730,21694,18275,36040
15,1201,2622.20937,Shelburne (CTY),14496,CD,Shelburne (CTY),2622.20937,13966,7765,6378,11945
16,1202,2343.35288,Yarmouth (CTY),25275,CD,Yarmouth (CTY),2343.35288,24419,12342,10798,20535
17,1203,2688.85767,Digby (CTY),18036,CD,Digby (CTY),2688.85767,17323,9927,8043,15050
18,1204,2770.18326,Queens (CTY),10960,CD,Queens (CTY),2770.18326,10351,6608,4764,8990
19,1205,3429.05882,Annapolis (CTY),20756,CD,Annapolis (CTY),3429.05882,20591,11391,9377,17570
20,1206,3115.22127,Lunenburg (CTY),47313,CD,Lunenburg (CTY),3115.22127,47126,26648,21439,40535
21,1207,2210.26812,Kings (CTY),60589,CD,Kings (CTY),2210.26812,60600,29187,25951,50335
22,1208,3173.20841,Hants (CTY),42304,CD,Hants (CTY),3173.20841,42558,19202,17439,34910
23,1209,5963.13705,Halifax (CTY),390328,CD,Halifax (CTY),5963.13705,403390,187478,173459,337215
